,Year,District,Crimes,Population,C/P,Median Income,M/P,Nationality Count,N/P
97,2017,Kreis 10,2243,37982.0,-0.4206072495653585,64.82,-0.4207304989743191,239,-0.5902077002291864
98,2017,Kreis 11,5536,69714.0,-0.3889614116700433,52.3,-0.6805268042287909,373,-0.6804493722812541
99,2017,Kreis 12,1712,30415.0,-0.4249077790183061,41.43,-0.5142503545227975,334,-0.14102479193480505
100,2017,Kreis 2,2576,31438.0,-0.38502992008260195,64.57,-0.3263891126887801,307,-0.25752873298595996
101,2017,Kreis 3,3856,48213.0,-0.38807796625440455,54.9,-0.574986916652308,324,-0.5492335128531378
102,2017,Kreis 4,9695,27321.0,0.03925360232117676,46.8,-0.4189760844346473,312,-0.09903148692916597
103,2017,Kreis 5,4009,14979.0,-0.09633165104834741,66.25,0.31721341567927674,203,0.10525463315211678
104,2017,Kreis 6,2439,31726.0,-0.39289952441464315,69.18,-0.29192177822428605,235,-0.4834224003908736
105,2017,Kreis 7,1832,36072.0,-0.43345933127567327,85.58,-0.23978368844912368,368,-0.2157075722876725
106,2017,Kreis 8,1556,15433.0,-0.35567252051266757,84.3,0.5996016597077466,264,0.4457022943697993
107,2017,Kreis 9,5219,51714.0,-0.35552088952923877,53.4,-0.6038093941017353,250,-0.7298943892662364
108,2018,Kreis 1,11748,5261.0,2.9591279065053286,75.98,3.0392946353854278,223,2.867529397222515
109,2018,Kreis 10,2432,38748.0,-0.4148392000004916,66.4,-0.41879439685800357,235,-0.6120132033154978
110,2018,Kreis 11,6013,70816.0,-0.380410906068088,53.43,-0.6793505953353403,371,-0.6911308477762222
111,2018,Kreis 12,1673,30675.0,-0.4276260305984705,43.13,-0.5023314244465544,331,-0.15931003678029168
112,2018,Kreis 2,2388,32816.0,-0.3992853645691868,66.18,-0.3364345816652874,311,-0.2851339663812546
113,2018,Kreis 3,4826,48710.0,-0.3583880645566735,56.6,-0.5686619438721918,330,-0.5440020768122882
114,2018,Kreis 4,9979,27373.0,0.054335178731649246,48.37,-0.4043114889689153,318,-0.08011183165953506
115,2018,Kreis 5,3436,15109.0,-0.15887010152732095,69.22,0.360217325117776,203,0.09408428575435221
116,2018,Kreis 6,2353,31979.0,-0.398025872580553,71.68,-0.275370643999753,227,-0.5130008043167168
117,2018,Kreis 7,1790,36317.0,-0.43578987950478165,87.28,-0.2314151530030204,386,-0.17482077448516553
118,2018,Kreis 8,1646,15789.0,-0.35034498869546427,87.88,0.6277981567132597,262,0.3966194867213543
119,2018,Kreis 9,4932,53271.0,-0.36848220857688635,54.78,-0.6049539188414036,241,-0.7596143588018311
120,2019,Kreis 1,11706,5318.0,2.90964081216208,76.27,3.011713901194791,229,2.93208823948935
121,2019,Kreis 10,2239,38976.0,-0.42310815282701936,67.17,-0.41617392616293575,237,-0.6104961954983903
122,2019,Kreis 11,6209,71701.0,-0.3777905251830681,54.63,-0.6773340153366781,376,-0.6906451320972136
123,2019,Kreis 12,2139,31122.0,-0.40556585695579744,43.73,-0.5025805920299432,336,-0.15876637004322677
124,2019,Kreis 2,2425,34182.0,-0.40212351031042504,68.0,-0.3438917561760533,309,-0.3270195471524724
125,2019,Kreis 3,4004,49284.0,-0.3861113965875865,57.8,-0.5657237619101635,334,-0.54378579448222
126,2019,Kreis 4,8568,27361.0,-0.02558810884823106,51.3,-0.3749758683044086,316,-0.08662609249920322
127,2019,Kreis 5,3307,15122.0,-0.1724359838393754,71.65,0.40286239031237264,208,0.12465208327584265
128,2019,Kreis 6,2353,32720.0,-0.4006164038280386,73.67,-0.2726944348652925,222,-0.5430391862748397
129,2019,Kreis 7,1636,37094.0,-0.4438491472044266,89.16,-0.23138406309760898,390,-0.18581825889877668
130,2019,Kreis 8,1751,16093.0,-0.3432632221700946,90.77,0.6479075264015807,267,0.39635444788224483
131,2019,Kreis 9,4821,54369.0,-0.3745629131850457,56.43,-0.6023514761526491,246,-0.7595569070262311
132,2020,Kreis 1,8616,5383.0,1.975916414514724,76.82,2.9924261563042425,224,2.7932978119739453
133,2020,Kreis 10,2570,39490.0,-0.4112398641279669,67.75,-0.41825449123282216,241,-0.6083747226836538
134,2020,Kreis 11,5765,72087.0,-0.3880867008196318,55.43,-0.6754275400235813,372,-0.6986506068225098
135,2020,Kreis 12,2098,31858.0,-0.4100350833481266,44.7,-0.5031568522721228,341,-0.16762492433991483
136,2020,Kreis 2,2681,34442.0,-0.3914008637357738,68.95,-0.3404782134260154,318,-0.3085244927221167
137,2020,Kreis 3,4122,49856.0,-0.38388095829946167,58.33,-0.5664730332919635,336,-0.5473913341015787
138,2020,Kreis 4,8502,27875.0,-0.03824584697176913,52.42,-0.3734852109426243,306,-0.14139314198625233
139,2020,Kreis 5,3363,15231.0,-0.1691531030810764,71.5,0.3909751505304723,210,0.12780141773456188
140,2020,Kreis 6,2271,33047.0,-0.4055801730046539,74.47,-0.2721700924736974,220,-0.5552680630689214
141,2020,Kreis 7,1732,37453.0,-0.44052152702967845,89.53,-0.23489855115468714,381,-0.21849223127049752
142,2020,Kreis 8,1395,16399.0,-0.38016842619498636,89.3,0.595019439641488,263,0.34333143808733907
143,2020,Kreis 9,4954,55230.0,-0.37296821375796846,57.07,-0.6036321354733478,247,-0.7645794799239364
144,2021,Kreis 1,7888,5381.0,1.7665141594667306,74.1,2.8567121976451504,226,2.8303845820245335
145,2021,Kreis 10,2308,39673.0,-0.42197330779501796,68.0,-0.4186924629263908,238,-0.6183153107129213
146,2021,Kreis 11,5365,72692.0,-0.3976760675455588,55.9,-0.675422177677892,380,-0.6922223148712782
147,2021,Kreis 12,1732,31588.0,-0.4271729786993453,45.12,-0.49631524565239193,342,-0.1558278413308958
148,2021,Kreis 2,2735,35004.0,-0.39094548250353245,68.27,-0.35451336630505964,319,-0.319988273352245
149,2021,Kreis 3,3521,49549.0,-0.40194131027475766,58.5,-0.5635898014282391,335,-0.5453245832684612
150,2021,Kreis 4,7802,27760.0,-0.07548328019373814,52.87,-0.3669651088010646,310,-0.12323330263075641
151,2021,Kreis 5,3099,15163.0,-0.1946810569863771,71.55,0.3975902269364816,214,0.1589955722681169
152,2021,Kreis 6,2428,33645.0,-0.4002245564848703,74.72,-0.2810319478309745,215,-0.5808391882815206
153,2021,Kreis 7,1642,37577.0,-0.4444822319533308,90.27,-0.23173989255355235,387,-0.20641209442590397
154,2021,Kreis 8,1517,16822.0,-0.3722190398606518,85.97,0.5039883374887948,271,0.35025678169764896
155,2021,Kreis 9,4542,55230.0,-0.3845653042736737,57.47,-0.6016645989400937,246,-0.7663139658826077
