"Ausgangsjahr","Gemeinde_BFS_Nr","Gemeindename","Stadtkreis_BFS_Nr","Stadtkreis_Name","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Haupttitel","Haupttitel","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2009,261,Zürich,2610005,Kreis 5,311.0,StGB,2,Total gegen das Vermögen,2778,2615,163,12722,218.4
2009,261,Zürich,2610005,Kreis 5,311.0,StGB,3,Total gegen die Freiheit,477,472,5,12722,37.5
2009,261,Zürich,2610005,Kreis 5,311.0,StGB,4,Total gegen sexuelle Integrität,60,60,0,12722,4.7
2009,261,Zürich,2610005,Kreis 5,311.0,StGB,5,Total übrige Titel StGB,298,296,2,12722,23.4
2009,261,Zürich,2610005,Kreis 5,812.121,BetmG,801,Total Übertretungen,1023,,,12722,80.4
2009,261,Zürich,2610005,Kreis 5,812.121,BetmG,802,Total leichte Fälle,143,,,12722,11.2
2009,261,Zürich,2610005,Kreis 5,812.121,BetmG,803,Total schwere Fälle,16,,,12722,1.3
2009,261,Zürich,2610005,Kreis 5,142.20,AIG,1421,Total rechtswidrige Ein- / Ausreise / Aufenthalt,34,,,12722,2.7
2009,261,Zürich,2610005,Kreis 5,142.20,AIG,1422,Total illegale Erwerbstätigkeit oder Beschäftigung,28,,,12722,2.2
2009,261,Zürich,2610005,Kreis 5,142.20,AIG,1423,Total Täuschung der Behörden,0,,,12722,0
2009,261,Zürich,2610005,Kreis 5,142.20,AIG,1424,Total Förderung der rechtswidrigen Ein- / Ausreise / Aufenthalt,9,,,12722,0.7
2009,261,Zürich,2610005,Kreis 5,142.20,AIG,1425,Total weitere Widerhandlungen gegen AIG,31,,,12722,2.4
2009,261,Zürich,2610006,Kreis 6,311.0,StGB,1,Total gegen Leib und Leben,92,92,0,30757,3
2009,261,Zürich,2610006,Kreis 6,311.0,StGB,2,Total gegen das Vermögen,2341,2140,201,30757,76.1
2009,261,Zürich,2610006,Kreis 6,311.0,StGB,3,Total gegen die Freiheit,519,516,3,30757,16.9
